title,body,labels,assignee,milestone,epic
"Determine flywheel motor type","","question","","Week 1","Testing/Prototyping"
"Re-map motor IDs on woodbot","","enhancement","","Week 1","Testing/Prototyping"
"Implement Drivetrain simulation","","enhancement","","Week 3","Simulations"
"Implement Superstructure states simulation","","enhancement","","Week 3","Simulations"
"Re-implement simple AprilTag targeting","","enhancement","","Week 2","Vision"
"Implement localization with limelight and odometry","","enhancement","","Week 2","Vision"
"Obtain campus center access","","question","","Week 1","Administration"
"Locate carpet for campus center","","question","","Week 1","Administration"
"Set up epics for GitHub issues","","documentation","","Week 1","Administration"
"Ask CAD about gear ratios in drive base","","question","","Week 1","Administration"
"Implement shooter commands","Priority: High. Create test commands for the shooter subsystem.","enhancement","","Week 2","Subsystems"
"Implement intake commands","Priority: High. Create commands for the intake subsystem.","enhancement","","Week 2","Subsystems"
"Remove steer override from autos","Priority: High. Ensure autos are bulletproof by removing steer override from pathplanner.","enhancement","","Week 2","Autos"
"Plan and diagram basic superstructure state machine","Priority: High. Minimum viable superstructure would include intaking and shooting as states. Create state diagram before implementation.","documentation","","Week 2","Architecture"
"Implement localization pose from hub","Priority: High. Successfully get a pose from the hub if present.","enhancement","","Week 2","Vision"
"Implement subsystem disable on robot disable","Priority: High. Stop all subsystems when robot is disabled.","enhancement","","Week 2","Automation"
"Create test commands for aligning to target","Test commands for vision-based alignment to targets.","enhancement","","Week 3","Automation"
"Determine starting positions for autos","Figure out optimal starting points for autonomous routines.","question","","Week 2","Autos"
"Prepare autos for Friday/Saturday testing","Need autonomous routines set up before Friday. Check with manufacturing if this timeline is realistic.","enhancement","","Week 2","Autos"
"Implement build and formatting tests","Set up CI checks for build verification and code formatting.","enhancement","","Week 3","Tooling"
"Transition to branch-based development","Switch team workflow from direct commits to branch-based development with pull requests.","documentation","","Week 2","Tooling"
"Research shoot on the move implementation","James needs to do deeper research into implementing shooting while the robot is moving.","question","","Week 5","Automation"
"Implement defense mode","Create a defense mode for robot operation.","enhancement","","Week 4","Automation"
"Implement held fuel detection","Implement GAS TANK sensor integration for detecting held fuel in the robot.","enhancement","","Week 3","Automation"
"Present localization implementation writeup","Create and present documentation on the localization implementation.","documentation","","Week 3","Vision"
"Test localization code","Verify localization code works as expected with real hardware.","enhancement","","Week 3","Vision"
"Set up AprilTags on field","Install AprilTag markers on the practice field for vision testing.","enhancement","","Week 2","Vision"
"Port CommandLogger utility from RainMaker25","Port the CommandLogger utility class from RainMaker25 to RainMaker26 for logging command start and end events.","good first issue,enhancement","","Week 2","Tooling"
"Port RobotUtils utility from RainMaker25","Port the RobotUtils utility class from RainMaker25 to RainMaker26 for USB writability checks.","good first issue,enhancement","","Week 2","Tooling"
"Add JavaDoc comments to Intake subsystem","Add proper JavaDoc comments to all public methods in the Intake.java class.","good first issue,documentation","","Week 2","Subsystems"
"Mount and configure Limelight on WoodBot","Get limelight physically mounted on WoodBot and properly configured for field use.","enhancement","","Week 3","Vision"
"Tune Pathplanner PID constants","Tune the holonomic PID values for Pathplanner path following.","enhancement","","Week 3","Testing/Prototyping"
"Tune drive motor PID (timebox 1 hour)","Tune drive motor PID constants. Time-boxed to 1 hour maximum.","enhancement","","Week 3","Testing/Prototyping"
"Run SysID routines on drivetrain","Execute SysID characterization runs on the drivetrain.","enhancement","","Week 3","Testing/Prototyping"
"Measure and configure wheel radius","Accurately measure wheel radius and update configuration.","enhancement","","Week 3","Testing/Prototyping"
"Run and validate autonomous routines","Execute autonomous routines on the field and validate behavior.","enhancement","","Week 3","Autos"
"Implement controller button bindings","Set up controller button bindings for driver and operator controls.","enhancement","","Week 3","Commands"
"Test localization accuracy on field","Validate localization code accuracy with real hardware on the field.","enhancement","","Week 3","Vision"
"Implement full robot simulation","Get full robot simulation working with all subsystems.","enhancement","","Week 3","Simulations"
"Design WoodBot superstructure architecture","Plan and document the superstructure design for WoodBot testing.","documentation","","Week 3","Architecture"
"Prepare IOs for practice bot","Set up IO layer configurations for the practice bot.","enhancement","","Week 3","Architecture"
"Implement basic auto commands for intake","Create registered auto command for intake operation.","enhancement","","Week 3","Autos"
"Implement basic auto commands for shooting","Create registered auto command for shooting operation.","enhancement","","Week 3","Autos"
"Implement follow path auto command","Create registered auto command for path following in autos.","enhancement","","Week 3","Autos"
"Implement automated shooting command routine","Create full automated shooting sequence command.","enhancement","","Week 4","Commands"
"Implement passing command","Create command for passing game pieces to alliance partners.","enhancement","","Week 4","Commands"
"Implement shoot modes for different game situations","Create logic for when to shoot vs hold based on game state.","enhancement","","Week 4","Automation"
"Implement target selection states","Create states for selecting targets based on robot position; match time; and auto winner.","enhancement","","Week 4","Automation"
"Implement turret auto-tracking of hub","Implement automatic hub tracking with the turret subsystem.","enhancement","","Week 4","Automation"
"Implement automated check for subsystem sim compatibility","Create tooling to verify all subsystems can run in simulation.","enhancement","","Week 4","Tooling"
"Evaluate spindexer prototype for single ball stream","Test spindexer design for managing single stream of balls.","question","","Week 3","Testing/Prototyping"
"Update SparkMax and SparkFlex firmware","Update REV motor controller firmware to latest versions.","enhancement","","Week 3","Testing/Prototyping"
"Fix Talon current logging","Fix current logging implementation for TalonFX motor controllers.","bug","","Week 3","Logging"
"Add setpoint logging to inputs","Add double setpoint value to logged inputs.","enhancement","","Week 3","Logging"
"Add atSetpoint boolean to inputs","Add boolean isAtSetpoint flag to logged inputs.","enhancement","","Week 3","Logging"
"Merge vision simulation branch","Merge the vision sim branch into main; check for PhotonSim Java LSP issues.","enhancement","","Week 3","Simulations"
"Check in with Emma on planning board issues","Coordinate with Emma on which issues she's adding to the planning board.","question","","Week 3","Administration"
