number,title,body,milestone
110,Create Superstructure Migration Plan from CommandFactory,"Design a comprehensive migration plan to transition from our current CommandFactory pattern to a Superstructure-based architecture that coordinates multiple subsystems through a central state machine. Currently, commands are created independently in CommandFactory and composed manually - Superstructure will automatically coordinate complex multi-subsystem sequences like shooting (which needs intake, indexer, flywheel, hood, and turret working together in precise timing). Start by researching Superstructure implementations: review FRC Team 254's 2022-2023 code (https://github.com/Team254/FRC-2023-Public) and Team 6328's recent code for Superstructure examples - look for classes named Superstructure.java that contain state machines (enum-based state patterns or state machine libraries). Create a new document at docs/superstructure_transition_plan.md and structure it with these sections: (1) Current Architecture Overview - describe how CommandFactory and RobotContainer currently work, (2) Superstructure Architecture Overview - explain what Superstructure does and benefits (coordinated subsystem control, automatic state management, reduced command complexity), (3) Subsystem Coordination - list which subsystems need coordination (Intake, IntakePivot, Indexer, Flywheel, Hood, Turret, Vision) and which can stay independent (Drivetrain), (4) State Machine Design - define states like IDLE, INTAKING, INDEXING, SHOOTING, EJECTING with entry/exit conditions and subsystem actions per state, include a visual state diagram using Mermaid syntax, (5) Interface Design - show how RobotContainer will call Superstructure methods like setShooting(), setIntaking() instead of individual commands, (6) Migration Phases - outline 3-4 phases that add Superstructure incrementally without breaking existing code (Phase 1: Create empty Superstructure class and state enum, Phase 2: Migrate shooting sequence, Phase 3: Migrate intake sequence, Phase 4: Remove old CommandFactory methods), (7) Testing Strategy - define how to test each phase (simulation tests, hardware validation, comparison with old behavior), (8) Risks and Mitigation - identify potential issues like timing bugs or state machine deadlocks and how to prevent them. Acceptance criteria: Document is 3-5 pages covering all sections, state diagram includes 5+ states with clear transitions, migration plan has at least 3 phases that can be implemented incrementally, testing strategy defines specific test cases for each phase, risk section identifies 4+ potential issues with mitigation plans, and document has been reviewed and approved by 2+ programming team members. Share the document with the team for review and incorporate feedback before considering it complete.",Week 3
62,Collect Shooting Tuning Data for Distance Interpolation,"Gather empirical shooting data across multiple distances to build an interpolation lookup table that automatically adjusts hood angle and flywheel speed based on distance-to-target. This enables the robot to shoot accurately from anywhere on the field without manual tuning during matches. Set up the practice field with the scoring target in the correct position and mark distance lines using tape at 1.0m, 1.5m, 2.0m, 2.5m, 3.0m, 3.5m, 4.0m, 4.5m, and 5.0m from the target (use a long tape measure for accuracy). Position WoodBot at the first distance marker. Connect to the robot and open AdvantageScope or Phoenix Tuner. Start by setting a reasonable initial hood angle (e.g., 30°) and flywheel RPM (e.g., 3000) using manual controls or test commands. Shoot 3-5 game pieces and observe if they score - adjust hood angle and RPM incrementally until you achieve consistent successful shots. Once you find a good configuration, take 10 shots and record the number of successful scores. Open AdvantageScope and record the exact hood angle (read from 'Hood/Inputs/positionDegrees') and flywheel velocity (read from 'Flywheel/Inputs/velocityRPM') displayed during successful shots. Record this data in a spreadsheet (Google Sheets or Excel) with columns: Distance_Meters, Hood_Angle_Degrees, Flywheel_RPM, Successful_Shots, Total_Attempts, Success_Rate. Calculate Success_Rate = Successful_Shots / Total_Attempts. Repeat this process for all distance markers. Take more attempts (15-20) at critical distances like the typical shooting position used in matches. Save the spreadsheet as docs/shooting_data.csv in the repository. The collected data will later be used to implement an InterpolatingTreeMap (a data structure that interpolates between known points) in code - reference FRC 254's InterpolatingTreeMap implementation for how this works. Acceptance criteria: Data collected for at least 8 different distances between 1.0m and 5.0m, each distance has recorded hood angle and flywheel RPM values, each distance tested with at least 10 shot attempts, achieved configurations have >75% success rate, data shows logical trends (generally farther distances require higher RPM and/or different hood angles - graph the data to verify trends make sense), and data is saved in docs/shooting_data.csv with all required columns. Review the data with the team to identify any outliers or suspicious values before using it for interpolation implementation.",Week 4
85,Implement Robot Defense Mode Configuration,"Create a defense mode configuration that optimizes the robot for playing defense by increasing speed limits, stowing mechanisms, and enabling more aggressive driving characteristics. Defense mode is used when the strategy is to block opponents rather than score, requiring faster speeds and a more compact robot profile. Implement defense mode in RobotContainer.java with two approaches: (1) configuration management and (2) subsystem commands. For configuration, create a setDefenseMode(boolean enabled) method in RobotContainer that toggles between profiles. When enabled, update Drivetrain configuration: increase MAX_VELOCITY_METERS_PER_SECOND from normal 4.5 to 5.5 m/s, increase MAX_ANGULAR_VELOCITY from 8.0 to 12.0 rad/s for snappier turns, and increase acceleration limits for more responsive driving - add these alternate values as DEFENSE_MAX_VELOCITY_METERS_PER_SECOND etc. to Constants.WoodBotConstants. When defense mode activates, command all mechanisms to stow positions: run parallel command group that calls intakePivot.setPositionCmd(0), hood.setPositionCmd(0), etc. to retract everything into the frame perimeter - this minimizes the robot's profile for navigating tight spaces and reduces damage risk during contact. Add a NetworkTables boolean entry to control defense mode from the dashboard: use NetworkTableInstance.getDefault().getTable(""DriverControls"").getEntry(""DefenseMode"") and bind it to a button trigger in RobotContainer. Optionally, if LED subsystem exists, add visual indication by setting LED color to red during defense mode. Create a command wrapper defenseModeTeleopCmd() that combines the high-speed drive command with continuous mechanism stowing. Acceptance criteria: Defense mode increases max velocity by >1 m/s compared to normal mode, all mechanisms automatically stow to frame perimeter when defense mode enables, driver reports noticeably more aggressive/faster driving feel during testing, mode state is visible on driver dashboard with clear ON/OFF indication, robot can switch between normal and defense modes within 2 seconds, and configuration persists until manually disabled. Test in simulation by enabling defense mode and verifying higher velocity limits in AdvantageScope logs, then test on WoodBot by comparing driving feel and maximum speeds (measure time to drive 10 meters in each mode) with defense mode ON vs OFF.",Week 4
141,Fix REV Power Distribution Hub Logging in AdvantageKit,"Debug and fix Power Distribution Hub (PDH) data logging in AdvantageKit to properly capture voltage, current draw, and per-channel power consumption data. The PDH is the REV Robotics power distribution board that supplies power to all robot devices and monitors electrical usage - proper logging is critical for diagnosing electrical issues, detecting brownouts, and monitoring motor current draw. Start by locating where PDH is instantiated - search the codebase for 'PowerDistribution' (likely in Robot.java or RobotContainer.java). Verify the PDH is created with correct parameters: 'private final PowerDistribution pdh = new PowerDistribution(1, ModuleType.kRev);' where 1 is the CAN ID (check with electrical team for your PDH's actual ID, default is 1) and ModuleType.kRev specifies a REV PDH (not CTRE). Check if there's a PDH IO layer following the AdvantageKit pattern - look for PowerDistributionIO.java interface with PowerDistributionIOReal.java implementation. If not, you'll need to create one or use direct logging. In Robot.java's robotPeriodic() method, add logging for PDH values using Logger.recordOutput(): Logger.recordOutput(""PDH/Voltage"", pdh.getVoltage()), Logger.recordOutput(""PDH/TotalCurrent"", pdh.getTotalCurrent()), Logger.recordOutput(""PDH/TotalPower"", pdh.getTotalPower()). For individual channels, loop through important channels: for (int i = 0; i < 24; i++) { Logger.recordOutput(""PDH/Channel""+ i + ""Current"", pdh.getCurrent(i)); }. This logs all 24 PDH channels - you can reduce to only channels with devices connected for cleaner logs. Reference AdvantageKit's documentation on hardware logging patterns and check 6328's code for PDH logging examples. Acceptance criteria: PDH voltage appears in AdvantageScope under 'PDH/Voltage' and shows realistic values (11-13V typical), total current updates at >20Hz and increases when motors run, per-channel currents appear for all connected channels and show expected draw patterns (e.g., drivetrain motors draw 5-40A during movement, idle devices draw <1A), current readings are accurate within ±2A compared to REV Hardware Client measurements, and voltage drops during high current draw are visible in logs (helps diagnose brownout issues). Test by running the robot with AdvantageScope connected, enabling and running various subsystems (drivetrain, flywheel, intake), and verifying corresponding current spikes appear on the correct PDH channels in the AdvantageScope graphs.",Week 4
102,Port CommandLogger Utility from RainMaker25,"Port the CommandLogger utility from RainMaker25 to automatically log command lifecycle events (start, execute, end, interrupt) for debugging command scheduling and autonomous sequences. This utility hooks into WPILib's CommandScheduler to capture when commands begin and finish, making it much easier to diagnose why commands aren't running or why sequences behave unexpectedly. Navigate to https://github.com/FRCTeam360/RainMaker25/blob/main/src/main/java/frc/robot/utils/CommandLogger.java and copy the entire file content. Create the utils package if it doesn't exist: create src/main/java/frc/robot/utils/ directory. Create CommandLogger.java in that directory and paste the copied code. Update the package declaration from 'package frc.robot.utils;' to match (should already be correct). Review the CommandLogger implementation - it likely uses CommandScheduler.getInstance().onCommandInitialize(), onCommandExecute(), onCommandFinish(), and onCommandInterrupt() to register callbacks that fire when command lifecycle events occur. Update the logging mechanism to use AdvantageKit's Logger instead of System.out: replace any System.out.println() calls with Logger.recordOutput(""CommandLogger/Event"", message) where message includes the command name and event type. You may also want to log active command counts: Logger.recordOutput(""CommandLogger/ActiveCommands"", CommandScheduler.getInstance().getActiveCommands().size()). Open Robot.java and in the robotInit() method, initialize the logger early (before any commands are created): CommandLogger.getInstance().init(); - this ensures logging starts before the first command runs. Test in simulation to verify compatibility with WPILib 2026 API - the CommandScheduler callback methods may have changed between 2025 and 2026, so check WPILib documentation if you encounter errors. Acceptance criteria: CommandLogger.java compiles without errors, CommandLogger initializes in robotInit() without exceptions, command start events appear in AdvantageScope logs when commands begin (message format like '[Command] DriveCommand started'), command end events appear when commands finish/interrupt, log entries include command class name (not just object reference), command scheduler callbacks don't throw exceptions or crash the robot, and logging overhead is <1ms per event (measure with Logger performance metrics). Test by running simulation, executing several test commands from CommandFactory, and verifying their start/end events appear in AdvantageScope under CommandLogger outputs, then run a complex autonomous routine with 5+ sequential commands and verify all transitions are logged in order with correct timing.",Week 2
187,Integrate Onshape CAD Models for Simulation Visualization,"Import 3D CAD models from Onshape to enhance robot simulation visualization with realistic mechanism representations in AdvantageScope's 3D viewer, replacing simple shapes with actual CAD geometry. This is a lower-priority enhancement task that makes simulation more realistic and helps with design validation. Start by coordinating with the CAD/Design team - identify which mechanism models to import first (prioritize Drivetrain, IntakePivot, Hood as the most visually important). Have CAD team export these models from Onshape as STL or OBJ files (STL is preferred - binary format for smaller file size). WPILib and AdvantageScope support STL files directly but may need processing for large models. Create a new assets directory in the project: src/main/deploy/models/ and copy the exported STL files there. Models in deploy/ are automatically bundled with the robot code. For visualization, you have two approaches: (1) Use AdvantageScope's built-in 3D model support by logging Mechanism3d objects, or (2) Create a custom visualization layer. For AdvantageScope approach, create mechanism3d representations in each subsystem and update them based on encoder positions - reference AdvantageScope documentation at https://docs.advantagescope.org for Mechanism3d examples. For subsystems like IntakePivot, create a Mechanism3d that loads the STL file and rotates based on inputs.positionDegrees. Log these using Logger.recordOutput(""Mechanism3d/IntakePivot"", mechanism3d). The CAD models will need origin points aligned correctly - work with CAD team to ensure pivot points in the STL match the physical mechanism rotation points. You may need to use transformation matrices to position models correctly. Reference FRC 6328's visualization implementations for examples of CAD model integration. Start with one mechanism as a proof-of-concept before scaling to others. Acceptance criteria: At least 3 subsystem CAD models (Drivetrain, IntakePivot, Hood) are imported as STL files in src/main/deploy/models/, visualization code loads and renders STL models without errors, models update positions in real-time during simulation (rotation/translation based on subsystem encoder values), 3D visualization appears correctly in AdvantageScope's 3D viewer when playing back logs, model origins/pivot points align correctly with physical mechanisms, and visualization doesn't cause performance degradation (maintain >50 FPS in simulation). Test by running simulation, moving mechanisms through their full range of motion, recording an AdvantageScope log, and opening the log in AdvantageScope's 3D viewer to verify models appear and move correctly. This is Week 6 priority - focus on core functionality first.",Week 6
188,Implement LEDs Subsystem for Robot State Indication,"Create an LED subsystem to control addressable RGB LED strips for real-time visual feedback to the drive team on robot state. Reference FRC Team 3663's LED subsystem at https://github.com/team3663/2026-Rebuilt/tree/led/src/main/java/frc/robot/subsystems/led for patterns and ideas. Create subsystems/LEDs/ folder with LEDsIO interface, LEDsIOWB.java (hardware), and LEDsIOSim.java (simulation) following the AdvantageKit IO layer pattern. Use WPILib's AddressableLED class to control the LED strip. Add LED port number and strip length to Constants.WoodBotConstants (e.g., LED_PORT = 9, LED_LENGTH = 60). Implement methods to set LED colors and patterns: setSolidColor(r, g, b), setBlink(r, g, b, frequency), setRainbow(), setOff(). Create state-based LED control that automatically updates based on robot state: red when disabled, green when enabled, blue when ready to shoot, yellow when has game piece, flashing red when low battery. Coordinate with manufacturing team on physical LED strip installation location, power supply (may need additional 5V supply), and mounting. Acceptance criteria: LEDs can display at least 5 different states with distinct colors/patterns, patterns update automatically based on robot state changes, LEDs are bright enough to be visible from typical drive team positions (6-10 feet away), simulation properly simulates LED state in logs. Add a credit comment: ""// LED patterns inspired by FRC 3663's 2026 LED subsystem"". Test LED patterns in code before hardware installation, then validate on practice bot once LEDs are mounted and powered.",Week 5
190,Profile Robot Code Performance with VisualVM,"Use VisualVM profiler to identify CPU, memory, and threading bottlenecks in the robot code for potential optimization. Download and install VisualVM from https://visualvm.github.io/. Run the robot in simulation (./gradlew simulateJava) and use VisualVM to connect to the JVM: open VisualVM, look for a Java process related to WPILib/robot simulation (likely shows as 'Main' or with the WPILibJ icon), and click to connect. While the simulation is running, select the Profiler tab and start profiling CPU and memory. Run typical robot operations: drive the robot around (teleop command), execute an autonomous routine, run a shooter sequence. Let the profiler collect data for 30-60 seconds. Analyze the results: (1) Look at CPU tab and identify methods consuming >5ms per loop cycle - the main robot loop runs at 20ms (50Hz), so methods >5ms are taking >25% of available time, (2) Look at memory allocations and identify hotspots creating excessive objects, (3) Review thread tab to check for thread blocking or excessive synchronization, (4) Look for frequent garbage collection pauses. Take screenshots showing CPU hotspots and memory allocation patterns. Create a summary report in docs/performance_profiling.md documenting findings: which methods are slow, estimated time spent, whether it's a concern. Note: This is diagnostic/educational - only recommend optimizations if clear problems are found (e.g., a logging method taking 10ms of 20ms loop time). Acceptance criteria: Successfully connect profiler to running robot code, capture CPU and memory profiling data during robot operation (teleop and auto), identify all methods consuming >5ms per cycle, document findings with screenshots and analysis. Common bottlenecks to watch for: synchronous logging, blocking I/O operations, inefficient loops creating new objects in periodic methods, excessive string concatenation.",Week 4
191,OPTIONAL Evaluate AdvantageKit Swerve Template Migration,"Research and evaluate whether migrating to AdvantageKit's official swerve template is worth the effort - this template enables full log replay functionality (replaying logged robot behavior in simulation for debugging). Access AdvantageKit's template at https://github.com/Mechanical-Advantage/AdvantageKit/tree/main/example_projects/advanced_swerve_drive. Compare it against our current CommandSwerveDrivetrain implementation by reviewing: (1) code structure differences, (2) IO layer patterns used, (3) features gained (log replay, replay-based debugging), (4) breaking changes required, (5) estimated effort to migrate. Log replay is powerful - it lets you replay a match log in simulation to see exactly what happened and test fixes, but requires strict AdvantageKit IO pattern adherence for ALL hardware (not just subsystems). Estimate effort: review both codebases for 2-3 hours, document findings. Create a decision document in docs/advantagekit_swerve_template_evaluation.md analyzing: (1) What would need to change (drivetrain command structure, request generation, simulation), (2) Estimated hours to migrate (roughly 8-20 hours depending on complexity), (3) Risks (breaking existing working code, time commitment near competition), (4) Benefits (log replay for debugging, cleaner code structure), (5) Team consensus (should we do it?). This is OPTIONAL and LOW PRIORITY - only pursue if team agrees the log replay debugging capability is worth the migration cost and we have time before competition. Acceptance criteria: Evaluation document is clear and thorough, includes honest effort estimate, lists specific pros/cons, and includes explicit team decision (go/no-go). If go: create separate implementation issue. If no-go: close issue with documented rationale.",Week 4
203,Tune Swerve Heading PID Controller,"Tune the heading (rotation) PID controller for smooth, accurate swerve drivetrain rotation without oscillation or overshoot. The heading controller maintains robot orientation during teleop or when rotating to specific angles. Open Constants.java and locate heading PID constants in DrivetrainConstants (look for HEADING_KP, HEADING_KI, HEADING_KD). Use LoggedTunableNumbers feature from AdvantageKit to tune these values in real-time on WoodBot without rebuilding code. LoggedTunableNumbers allow live tuning via a web interface - reference AdvantageKit documentation. Alternatively, use Phoenix Tuner X's tuning interface if your drivetrain uses CTRE motor controllers. Deploy code to WoodBot and run teleop mode. Test rotations by: (1) Command 90° and 180° rotations and measure rotation time and overshoot, (2) Drive forward while maintaining a heading using field-centric mode, (3) Perform snap rotations (rapid heading changes) to test responsiveness. Tune starting with kP: slowly increase until the robot responds quickly but starts oscillating, then reduce by 30-50%. Add kD to dampen oscillation and improve settling time. Only add kI if significant steady-state error remains after kP/kD tuning. Target: robot rotates to commanded heading within ±2°, settles within 0.5 seconds, no visible oscillation or overshoot, maintains heading during straight driving. Document final tuned values in Constants.WoodBotConstants with a comment noting tuning date and conditions. Acceptance criteria: All three rotation tests pass without oscillation, heading is maintained during driving, settling time is <0.5 seconds for typical rotations, and constants are documented. Test on practice field to validate performance in realistic conditions.",Week 4
193,Refactor Indexer Subsystem to Hopper,"Rename the Indexer subsystem to Hopper to better reflect its expanded scope - it will coordinate multiple components (indexer wheel, sensors, kicker, etc.) not just the indexer wheel itself. Use IntelliJ's refactoring tools: right-click on Indexer.java → Refactor → Rename and choose 'All references'. This automatically updates: (1) Class name Indexer → Hopper in Indexer.java, (2) IndexerIO → HopperIO interface, (3) IndexerIOWB → HopperIOWB, (4) IndexerIOSim → HopperIOSim, (5) All references in RobotContainer.java, CommandFactory.java, and any imports. Also rename the folder: subsystems/Indexer/ → subsystems/Hopper/. Update Constants.java by renaming IndexerConstants (if it exists) to HopperConstants. Update any Dashboard display names from 'Indexer' to 'Hopper'. After renaming, build the project: ./gradlew build. Review build output for any missed references (search for remaining 'indexer' or 'Indexer' strings case-insensitively using grep or IDE search). Look especially in comments and string literals. Acceptance criteria: Project builds without errors, zero references to 'Indexer' class remain (comments can mention the indexer wheel component), subsystem functions correctly in simulation showing 'Hopper' in logs, all file/folder names use 'Hopper', existing functionality is unaffected. Test by running simulation and verifying Hopper subsystem appears in AdvantageScope logs with the new name.",Week 4
194,Clean Up VisionIOLimelight Constructor Code,"Refactor VisionIOLimelight.java's constructor to improve readability by extracting long configuration blocks into focused helper methods. Open subsystems/Vision/VisionIOLimelight.java and review the constructor - it likely contains inline configuration of the Limelight, PoseEstimator, AprilTag layout, and pipeline setup all in one large block. Refactor by: (1) Extract Limelight hardware initialization into initializeCamera() method, (2) Extract pose estimator setup into setupPoseEstimator() method, (3) Extract pipeline configuration into configurePipelines() method, (4) Replace all hardcoded magic numbers (LED blink rates, pipeline indices, exposure values, etc.) with named constants in Constants.VisionConstants (e.g., LIMELIGHT_LED_BLINK_RATE, DEFAULT_PIPELINE_INDEX). The constructor should become <20 lines with clear method calls showing initialization order. Example: constructor becomes: `public VisionIOLimelight() { initializeCamera(); configurePipelines(); setupPoseEstimator(); }`. Each helper method should be <20 lines with single responsibility. Verify Vision subsystem still works identically before/after refactoring. Acceptance criteria: Constructor is clean and delegates clearly, all magic numbers are named constants, code follows single responsibility principle, Vision subsystem compiles and functions identically, readability is improved (new developers can understand initialization flow quickly). Test by running simulation and comparing Vision output in AdvantageScope before/after refactoring - should be identical.",Week 4
209,Update AprilTag Field Layout for 2026 Game,"Update the AprilTagFieldLayout in Constants.java to use the official 2026 game field configuration instead of any 2025 or placeholder layouts. Download the official 2026 AprilTag field layout file from FRC resources: check the WPILib documentation or official FRC website for 2026 game assets (usually a JSON file with tag positions and IDs). Create src/main/deploy/apriltags/ directory if it doesn't exist and place the JSON layout file there (e.g., 2026-field.json). Open Constants.java and locate the AprilTagFieldLayout initialization (likely in VisionConstants). Update it to load the 2026 file: `AprilTagFieldLayout.loadFromResource(""aplayout/2026-field.json"")` (the path depends on file location). Verify the layout contains the correct number of AprilTags for 2026 (typically 16 tags) and that tag positions match the official game manual field drawing. If the official 2026 layout isn't available yet, create a placeholder from the game manual CAD or field specification. Update any hardcoded tag ID assumptions in Vision.java or other code to match the 2026 layout (e.g., if code assumed tag 1 is at blue corner, verify that's still true). Acceptance criteria: AprilTagFieldLayout loads the 2026 configuration without errors, tag count matches game manual, tag positions are accurate to within a few centimeters, Vision subsystem initializes without errors, and tag visualization in simulation or AdvantageScope field widget shows correct positions. Test by enabling Vision subsystem, viewing the field layout, and verifying AprilTag positions match your mental model of the official field.",Week 4
210,Reorganize Constants.java for Better Readability,"Restructure Constants.java to improve scannability by grouping all constants for each subsystem together in a logical, hierarchical organization. Currently WoodBot and Simulation constants for the same subsystem may be scattered, making it hard to find values during debugging. Reorganize the file structure as follows: (1) Add a section comment before each subsystem group: `// ==================== DRIVETRAIN ====================`, (2) Group subsystem constants in nested classes or regions: DrivetrainConstants, IntakeConstants, IntakePivotConstants, HopperConstants, FlywheelConstants, FlywheelKickerConstants, HoodConstants, TurretConstants, VisionConstants, LEDsConstants, etc., (3) Within each subsystem section, organize by category: CAN IDs first, then port numbers, then PID values, then physical/mechanical constants (gear ratios, limits), then tuning values, (4) Order subsystems logically: Drivetrain first, then subsystems in intake-to-shooter flow: Intake, IntakePivot, Hopper, Flywheel, FlywheelKicker, Hood, Turret, then Vision, then LEDs, (5) Add blank lines between subsystem sections for visual separation. After reorganizing, build the project: ./gradlew build. Verify all functionality is unchanged - this is purely organizational. Acceptance criteria: Constants.java is well-organized with clear subsystem sections, related constants are grouped together, section comments guide readers, blank lines improve visual separation, and gradle build succeeds without any behavioral changes. Test by running simulation and comparing robot behavior before/after - should be identical.",Week 4
211,Centralize USB Drive Path Constants,"Refactor hardcoded USB drive path strings scattered across the codebase into centralized Constants.java for consistency and maintainability. Search the entire codebase for hardcoded paths: use grep search for `""/U""` or similar USB mount paths. Common locations: RobotUtils.java (USB write operations), Robot.java or logging setup (AdvantageKit USB log directory), any file output operations. Create a new section in Constants.java for I/O paths: `public static final class IOConstants { public static final String USB_ROOT_DIRECTORY = ""/U""; public static final String USB_LOGS_DIRECTORY = ""/U/logs""; public static final String USB_EXPORTS_DIRECTORY = ""/U/exports""; }`. Replace all instances of the hardcoded ""/U"" string with references to Constants.IOConstants.USB_ROOT_DIRECTORY. For path concatenation, use Java NIO Paths for proper cross-platform handling: `Paths.get(Constants.IOConstants.USB_ROOT_DIRECTORY, ""logs"", filename).toString()` instead of manual string concatenation. This approach ensures: if USB mount point changes, update only one constant; paths are platform-aware; and code is more maintainable. Acceptance criteria: Zero hardcoded USB paths remain in code (except the constant definition), all file I/O uses the centralized constants, paths are constructed using Paths.get() for proper handling, USB logging still works correctly. Test by deploying to WoodBot with a USB drive and verifying logs are written to the expected location.",Week 4
212,Replace Misleading Debug Log in CommandSwerveDrivetrain,"Update a non-descriptive debug log message in CommandSwerveDrivetrain.java to provide meaningful feedback about code execution. Search CommandSwerveDrivetrain.java for the line containing `.alongWith(new InstantCommand(() -> System.out.println(""running"")))` which prints only ""running"" - this is too generic to be useful for debugging. Replace the message with descriptive text that clearly indicates what's executing, such as: - ""Running field-oriented drive teleop"" if this is the main teleop drive command, - ""Starting autonomous mode"" if in autonomous initialization, - or other context-specific description. The message should tell someone reading console output what specific action the robot is performing. While fixing this, consider: (1) Is the debug print statement still necessary? If not, remove the entire .alongWith(InstantCommand) clause to reduce noise, (2) Should this use Logger.recordOutput() instead of System.out.println()? Logger integrates with AdvantageKit for better visibility in AdvantageScope. If you see multiple similar generic print statements, fix all of them. Acceptance criteria: Log message is descriptive and clearly states what action is happening, message appears in console at the appropriate time when the command runs, no other generic ""running"" messages remain in the codebase. This makes code more maintainable for future developers trying to understand program flow.",Week 4
215,Add Guard Condition to startSimThread in CommandSwerveDrivetrain,"Add a defensive guard condition to CommandSwerveDrivetrain.startSimThread() to ensure only one simulation thread is created, preventing resource leaks if the method is called multiple times. Open CommandSwerveDrivetrain.java and locate the startSimThread() method. Review how/where it's called - it may be invoked from multiple constructors or initialization paths. At the beginning of startSimThread(), add a guard check: `if (m_simNotifier != null) { return; }` (m_simNotifier is assumed to be the Notifier or thread object - adjust variable name if different). This pattern ensures the method is idempotent - safe to call multiple times without side effects. Without this guard, multiple calls could create multiple Notifier threads competing for execution, wasting CPU cycles and causing unpredictable timing. After adding the guard, search the codebase for all calls to startSimThread() to document how often it's called and from where. Test by: (1) Creating a test that calls startSimThread() three times and verify only one thread exists (check with logging or thread inspection), (2) Running normal simulation to confirm the guard doesn't break anything. Acceptance criteria: Guard condition prevents duplicate thread creation, simulation still runs correctly, no resource leaks occur when startSimThread() is accidentally called multiple times, code is defensive and follows best practices for thread initialization. This is a safety improvement that prevents potential resource issues.",Week 4
217,Optimize Map Iteration in Vision Subsystem,"Refactor Vision.java's iteration loops to use more efficient and idiomatic Java patterns for map iteration. Open Vision.java and find loops iterating over the ios map (likely in the updateInputs() or periodic method). Look for patterns like: `for (String key : ios.keySet()) { VisionIO io = ios.get(key); ... }` which perform two map operations per iteration (keySet lookup, then get lookup). Replace with the more efficient pattern: `for (Map.Entry<String, VisionIO> entry : ios.entrySet()) { VisionIO io = entry.getValue(); String key = entry.getKey(); ... }` which gets both key and value in a single operation. The entrySet() pattern is both more efficient (one lookup instead of two) and more idiomatic Java. Apply the same optimization to any other map iteration loops in Vision.java (e.g., for visionInputs or similar). This is a minor performance optimization - the gains are small (microseconds per loop) but it follows best practices. While making this change, add a comment explaining the pattern: `// Use entrySet() for efficient key-value iteration in one pass` to help future maintainers understand the optimization. Acceptance criteria: Both identified loops use entrySet() iteration pattern, code compiles and functions identically, Vision subsystem behavior unchanged in simulation, logs show same data as before refactoring. This is a good practice improvement with no functional change - helps with code quality and maintainability.",Week 4
218,Extract Simulation Tick Rate to Constants,"Centralize hardcoded simulation update rate values (0.02 seconds = 20ms) scattered across subsystem simulation classes into a single shared constant. Search the codebase for hardcoded 0.02 values in all IO simulation classes: use grep to find `.update(0.02)` or similar patterns in IntakePivotIOSim.java, FlywheelIOSim.java, HoodIOSim.java, TurretIOSim.java, and any other *IOSim classes. Create a new constant section in Constants.java: `public static final class SimulationConstants { public static final double SIM_TICK_RATE_S = 0.02; // 20ms, matches WPILib periodic loop rate }` (the _S suffix indicates the unit is seconds). Replace all hardcoded 0.02 values with Constants.SimulationConstants.SIM_TICK_RATE_S. This improves maintainability - if the simulation update rate ever needs to change (e.g., to 0.01 for higher fidelity), update only one value instead of searching the entire codebase. Note: 20ms matches WPILib's standard periodic loop rate, so this shouldn't normally change, but centralizing it is still good practice. Search carefully for all instances - they might appear as 0.02, 0.020, or in expressions like `1.0 / 50.0`. Acceptance criteria: All hardcoded 0.02 tick rates are replaced with the constant reference, simulation behavior is identical before/after refactoring (verify in AdvantageScope logs), gradle build succeeds. Test by running simulation and comparing subsystem behavior - all should update at the same rate as before, no behavioral changes.",Week 4
223,Research PathPlanner Dynamic Path Selection,"Research and document PathPlanner's capabilities for runtime path selection based on robot state during autonomous routines. This enables autos that adapt (e.g., skip intake if hopper is full). Review PathPlanner documentation at https://pathplanner.dev/home.html and search for: dynamic pathing, event markers, conditional commands, runtime path selection, path groups. Study code examples from FRC 6328 or other teams using PathPlanner dynamic features. Key questions to investigate: (1) Can we select between different paths based on a condition (if hopper.isFull() return shootPath else return intakeThenShootPath)?, (2) Do event markers support conditional logic or just sequential commands?, (3) Can we build auto routines programmatically using command groups to enable dynamic routing?, (4) Are there limitations or gotchas? Document findings in docs/pathplanner_dynamic_routing.md with sections: (1) Dynamic Path Selection Capabilities - what PathPlanner supports, (2) Code Examples - pseudocode or actual examples of conditional path selection, (3) Limitations - what's not possible, (4) Recommended Approach - specific implementation strategy for our middle auto scenario (collecting pieces conditionally). If PathPlanner doesn't support dynamic paths natively, investigate workarounds: conditional command groups, event marker conditions, or hybrid programmatic + pathname routing. Acceptance criteria: Research document is comprehensive and clearly explains dynamic path options, includes code examples or pseudocode, identifies limitations honestly, recommends a specific implementation approach suitable for our auto routines. If feasible approach is found, create a follow-up implementation issue (#225 or similar) to implement the dynamic routing feature.",Week 4
