"title","body","labels","assignee","milestone","epic"
"Updating CAN IDs in Code to Real Values","","","Kaleb-Robotics","Week 1","Architecture"
"Serial ID for Roborio","","","RaineyRubin","Week 1","Tooling"
"Practice Bus to the Field Jan 23rd?? Organize","","","JRTaylord","Week 2","Administration"
"Implement Hopper Sensors for Fuel Level in Robot Code","","","","Week 3","Subsystems"
"Implement Kicker Subsystem","","","RaineyRubin","Week 1","Subsystems"
"Switch Statement for SIM vs Real Robot in Robot Container","","","","Week 2","Simulations"
"Test that logging works as expected","","","JRTaylord","Week 2","Logging"
"Testing Distance, Hood Angle, RPM Speed for Interpolation","","","","Week 3","Testing/Prototyping"
"Configure Robot Radio","","","","Week 2","Testing/Prototyping"
"Setup Pathplanner Logging","","","","Week 2","Logging"
"Tune Pathplanner Holonomic PID and wheel radius","","","","Week 2","Testing/Prototyping"
"Merge and Refactor fix_sim_drivetrain into Simulation Branch","","enhancement","annashimshock","Week 2","Architecture"
"Test out higher current limits on Neo Indexer subsystem motor","","","","Week 2","Testing/Prototyping"
"Implement simple implementation of override feedback in pathplanner","","","","Week 3","Testing/Prototyping"
"Reimplement PID to Point for Climbing Automation","","","","Week 4","Automation"
"Calibrate Limelight Cameras","","","","Week 4","Vision"
"Setup project repository","Create initial repository structure with README and basic configuration files","","","",""
